ISO     , Isoprene                                                          , ppb  , C 5 + H 8            ,           ,           ,          , cbm4                , nmvoc soa_prec
ISPD    , Isoprene product (lumped methacrolein/methyl vinyl/ketone etc.)   , ppb  , C 4 + R              ,           ,           ,          , cbm4                ,
TO2     , Toluene-hydroxyl radical adduct                                   , ppb  , C 7 + R              ,           ,           ,          , cbm4                ,
OPEN    , Aromatic ring opening product                                     , ppb  , C 4 + R              ,           ,           ,          , cbm4                ,
TERP    , Terpene                                                           , ppb  , C 10 + H 16          ,           ,           ,          , cbm4                , nmvoc soa_prec

#
# validation tracers
#
SF6     , Sulfur hexafluoride                                               , ppb  , S + F 6              ,           ,           ,          , sf6                 ,

#
# elementary carbon aerosols
#
EC_f   , elementary carbon aerosol fine mode                                , ug/m3, R                    , <bc_f>    , 1.9e3     , 0.0      , ec                  , aerosol fine_modes
EC_c   , elementary carbon aerosol coarse mode                              , ug/m3, R                    , <bc_c>    , 1.9e3     , 0.0      , ec                  , aerosol coarse_mode

#
# primary organic carbon aerosols
#
POM_f  , primary organic matter aerosol fine mode                           , ug/m3, R                    , <oc_f>    , 1.9e3     , 0.1      , pom                 , pom aerosol fine_modes
POM_c  , primary organic matter aerosol coarse mode                         , ug/m3, R                    , <oc_c>    , 1.9e3     , 0.1      , pom                 , pom aerosol coarse_mode

#
# primary aerosols
#
PPM_f   , primary particulate matter fine mode                              , ug/m3, R                    , <oc_f>    , 1.9e3     , 0.1      , ppm                 , aerosol fine_modes
PPM_c   , primary particulate matter coarse mode                            , ug/m3, R                    , <oc_c>    , 1.9e3     , 0.1      , ppm                 , aerosol coarse_mode

#
# Primary PM components used with OPS input
#
PPM_1   , particulate matter ultra_fine mode                                , ug/m3, R                    ,           , 1.9e3     , 0.1      , ppm_ops             , aerosol ultra_fine_mode
PPM_1_25, particulate matter ultra_fine to fine mode                        , ug/m3, R                    ,           , 1.9e3     , 0.1      , ppm_ops             , aerosol ultra_fine_fine_mode
PPM_25_4, particulate matter fine mode to medium mode                       , ug/m3, R                    ,           , 1.9e3     , 0.1      , ppm_ops             , aerosol fine_medium_mode
PPM_4_10, particulate matter medium mode to coarse mode                     , ug/m3, R                    ,           , 1.9e3     , 0.1      , ppm_ops             , aerosol medium_coarse_mode
EC_1    , Elemental carbon ultra_fine mode                                  , ug/m3, R                    ,           , 1.9e3     , 0.1      , ppm_ops             , aerosol ultra_fine_mode
EC_1_25 , Elemental carbon ultra_fine mode to fine mode                     , ug/m3, R                    ,           , 1.9e3     , 0.1      , ppm_ops             , aerosol ultra_fine_fine_mode

#
#
# sodium aerosol, represent seasalt;
#  density of seaalt is used 
#
Na_ff   , Sodium aerosol fine mode                                          , ug/m3, Na                   , <aer_ff>  , 2.165e3   , 1.0      , seasalt basecation  , seasalt basecation aerosol ff_modes
Na_f    , Sodium aerosol fine mode                                          , ug/m3, Na                   , <aer_f>   , 2.165e3   , 1.0      , seasalt basecation  , seasalt basecation aerosol fine_modes
Na_ccc  , Sodium aerosol coarse mode                                        , ug/m3, Na                   , <aer_ccc> , 2.165e3   , 1.0      , seasalt basecation  , seasalt basecation aerosol ccc_mode
Na_cc   , Sodium aerosol coarse mode                                        , ug/m3, Na                   , <aer_cc>  , 2.165e3   , 1.0      , seasalt basecation  , seasalt basecation aerosol cc_mode
Na_c    , Sodium aerosol coarse mode                                        , ug/m3, Na                   , <aer_c>   , 2.165e3   , 1.0      , seasalt basecation  , seasalt basecation aerosol coarse_mode

#
# dust aerosol:
#
dust_ff , dust aerosol fine mode                                            , ug/m3, R                    , <aer_ff>  , 2.65e3    , 0.0      , dust                , dust aerosol ff_modes
dust_f  , dust aerosol fine mode                                            , ug/m3, R                    , <aer_f>   , 2.65e3    , 0.0      , dust                , dust aerosol fine_modes
dust_c  , dust aerosol coarse mode                                          , ug/m3, R                    , <aer_ccc> , 2.65e3    , 0.0      , dust                , dust aerosol coarse_mode
dust_cc , dust aerosol coarse mode                                          , ug/m3, R                    , <aer_cc>  , 2.65e3    , 0.0      , dust                , dust aerosol cc_mode
